Canton,Recettes fiscales cantonales,Nombre de forfaits,impôt fédéral direct,impôt cantonal,impôt communal,totale des recettes fiscales
AG,2217.88,16,0.34,0.57,0.57,1.47
AI,50.4576,21,0.51,0.53,0.53,1.58
AR,147.7889,19,0.33,0.43,0.52,1.28
BE,4814.833,211,6.8,14.1,6.3,27.2
BL,1559.2639,10,0.19,0.5,0.25,0.94
BS,2601.948,16,0.35,1.62,0.18,2.15
FR,1119.9623,80,0.7,1.6,1.3,3.6
GE,5637.599,710,41.2,85.9,28.6,155.7
GL,95.3225,0,0,0,0,0
GR,688.289,268,15.4,19.9,13.8,49.1
JU,311.37737342,22,0.2,0.65,0.45,1.3
LU,1048.719855,130,5.5,6.4,6.3,18.2
NE,1072.316374,39,0.85,2.2,0.85,3.91
NW,164.6862,84,3.4,2.6,2.2,8.2
OW,83.395,38,2.1,1.2,2.1,5.4
SG,1770.6256,73,2.45,3.51,3.51,9.46
SH,278.68613439,0,0,0,0,0
SO,865.8042,0,0,0,0,0
SZ,515.467,92,7.27,3.88,3.88,15.03
TG,742.685,104,2.5,2.7,3.5,8.7
TI,1793.24802818,877,20,29,23,72
UR,77.797082,9,0.27,0.28,0.28,0.82
VD,5442.1692,1396,54.3,108.7,44.8,207.8
VS,1238.667,1300,20.7,32.2,29.6,82.5
ZG,641.320129,110,7,6.4,5.2,18.6
ZH,6280.6128,0,0,0,0,0
