"","Population Habitants en milliers","Population par km2","Population Etrangers en %","Population 0–19","Population 20–64","Population 65 ou plus","Population Population urbaine en %","Langue principale en % Allemand","Appartenance à une religion en % Catholiques romains","Appartenance à une religion en % Evangéliques réformés","Surface en km2 Surfaces d'habitat et d'infrastructure en %","Travail Taux de chômage en % (selon le SECO)","Economie Produit intérieur brut par habitant, en francs","Mobilité Voitures de tourisme pour 1000 habitants","Logements Taux de logements vacants","Niveau de formation (dès 25 ans) en % Sans formation postobligatoire","Niveau de formation (dès 25 ans) en % Degré secondaire II","Niveau de formation (dès 25 ans) en % Degré tertiaire","Protection sociale Taux d'aide sociale ","Partis politiques en % (élections au Conseil national) PS","Partis politiques en % (élections au Conseil national) PBD","Partis politiques en % (élections au Conseil national) UDC","Partis politiques en % (élections au Conseil national) PLR ","Partis politiques en % (élections au Conseil national) PDC","Partis politiques en % (élections au Conseil national) Petits partis de droite","Partis politiques en % (élections au Conseil national) UDC et petits partis de droite"
"AG",627.34,449.6803050721,22.8348264099,20.6940415086,63.1689355055,16.1370229859,66.0039213186,88.4701109079504,34.9422008850519,27.5248861272591,16.993282471,2.8494090776,65174.189569158,577.5516013314,1.6771927895,19.6257745557736,51.3666544733021,27.4869475574474,1.97542,18.0368900702,6.1445981691,34.7529923639,11.4806967332,10.5927393344,1.5513792793,36.3043716432
"AI",15.717,91.1024808718,10.0528090603,23.2487115862,59.2733982312,17.4778901826,0,95.1240244185148,78.3324318058883,8.36875048296113,4.7246376812,1.4204876911,50739.305738103,549.7046306295,1.2079615649,22.2128536631066,56.9046280682031,19.4678658422335,1.14337,20.3281900563,NA,NA,NA,76.0960078374,NA,0
"AR",53.438,220.0362348678,14.6637224447,21.0000374266,60.8873835099,18.1125790636,53.1681574909,92.1959095801938,31.3755830642268,40.2762827412989,9.1833374496,1.7038256188,49328.814276181,546.6584135202,1.677508954,23.345159923745,51.8957847913578,23.7052531243381,1.91698,NA,NA,30.5041920294,51.5102790858,10.5662110945,NA,30.5041920294
"BE",992.617,169.9346192629,14.0048981631,19.3670872048,61.1979242749,19.4349885202,62.841458488,85.1489998215571,15.5754304485863,55.4993347313357,6.913494891,2.3331066001,67703.716644467,504.3967489843,1.2314231425,19.5438231347234,51.9983305209245,27.1886000008292,4.22133,19.3210129931,14.8786369277,29.002852222,8.6538737308,2.0662449158,3.667207483,32.670059705
"BL",276.537,534.3090656156,20.1108712397,19.5138444403,60.1011799506,20.3849756091,91.787717376,88.5026234475439,28.2352286636252,33.3284830224855,17.4370072654,2.6972391628,70270.5286017,514.0107495642,0.3680568543,18.6672754408704,51.3368485134127,28.5996229527513,2.49782,24.443908658,6.3522430142,26.9459408124,11.4510630555,8.2443330133,0.6755465284,27.6214873408
"BS",187.425,5065.5405405405,33.575030012,16.5527544351,62.8261971455,20.6210484194,100,80.1553978146398,19.8684516076393,17.845644028544,70.8929053143,3.7257987906,156794.791399,361.6332447451,0.3325441934,21.0054760642996,39.3633633633634,37.5763999293411,5.99501,29.1218700246,2.2308795413,16.5232160678,12.3081213409,6.5276682668,0.5119256511,17.0351417189
"FR",291.395,182.8291954499,20.0037749447,23.466085554,62.1180871326,14.4158273134,55.7943684689,28.7690880305068,63.1377572734547,12.9445361842665,8.3760264298,2.7449205654,50235.255207245,576.8544409628,0.6564518887,28.8721872823267,42.2273594524475,27.3009014829546,2.44179,26.6884420056,1.8847405524,21.4500687115,12.8109707112,20.2669465854,0.7063824801,22.1564511916
"GE",463.101,1883.979496359,39.6639178063,21.3581918415,62.2896517174,16.352156441,99.1893776951,5.01317467063323,36.4553052840346,10.7309817254569,33.334513525,5.459961279,104914.15074804,477.1982090356,0.360942506,26.3766834197387,32.0569978450907,39.264888839022,5.33446,19.1307527118,NA,16.0244342448,18.6515170836,9.7742758324,9.7845584491,25.8089926939
"GL",39.369,57.8369007918,21.7785567325,19.8811247428,62.0462800681,18.0725951891,0,87.2936695084346,34.8267730818066,35.4797750770905,2.910709075,2.4763619991,58570.874092819,556.442359181,1.5958191405,29.3641495366919,50.651471580218,17.2897362161395,1.97363,24.5584114996,61.7127542941,NA,NA,NA,NA,0
"GR",193.92,27.2917651827,17.2906353135,18.803630363,62.4174917492,18.7788778878,50.0964315182,74.6306347970013,43.8412764093078,34.7318907603933,1.9511199623,1.7121939159,59914.221352959,540.5609448363,0.9341799208,22.8504887257843,52.0152440100215,23.7968876812873,1.1283,15.5911433308,20.4329768809,24.472409368,11.903467855,16.7007622154,0.5067598706,24.9791692386
"JU",70.942,84.6007989983,12.9965323786,22.405627132,58.7057032505,18.8886696174,30.7222801725,7.19503224592435,69.5861915596079,10.0894674718169,6.6940069861,3.7931243926,56595.13769296,568.1296249043,2.0069280255,31.8321536905966,46.1456016177958,20.5278058645096,2.33336,30.8309901103,NA,15.4629739309,9.4963161299,33.244873966,NA,15.4629739309
"LU",386.082,270.1555513571,16.9533933206,21.2444506607,62.3846747582,16.370874581,50.8604389741,90.3803356068123,64.785699306062,11.0363370591678,9.6322534853,1.9613362923,60905.281119043,513.5823607337,0.7027434128,21.6821229689386,49.7588374006842,27.3150317921315,2.06013,11.4572298777,2.1372808396,25.1040404283,18.3749611967,27.1255370274,0.2127045376,25.3167449659
"NE",174.554,243.4742582958,24.0051789131,21.9210101172,59.886338898,18.1926509848,74.567755537,5.98576080665518,24.4081530190298,23.7192047807987,8.3443329266,5.2470559124,71125.600564705,539.9894908854,0.8167963432,27.6333677296775,41.6580675806267,28.7291369793458,7.00935,24.7247991652,1.4841102688,21.3940056667,26.8237597603,3.4898875565,NA,21.3940056667
"NW",41.584,172.1904761905,12.4711427472,19.3415736822,63.2623124279,17.39611389,87.4975952289,92.9217593511613,68.8285171426141,10.7109434818365,5.3683981743,1.0075063504,58967.965377355,601.2200140398,2.3665167221,22.0292143703119,50.911304118963,26.2633241215949,0.88112,NA,NA,45.2300785634,35.202020202,NA,NA,45.2300785634
"OW",36.115,75.1315816847,13.8003599612,21.3816973557,62.4172781393,16.2010245051,0,92.5552915983538,73.9953826078228,7.25064409274936,3.8303944552,0.9219858156,58082.60227758,576.8705587293,0.6503902341,22.5693350141822,49.881815316735,26.240939174283,1.19549,NA,NA,43.1020147106,NA,NA,NA,43.1020147106
"SG",487.06,249.6783288479,22.4964070135,21.3577382663,61.9909251427,16.651336591,66.8340656182,89.3476034766779,47.3870500180562,22.1828669235754,9.5791058777,2.4298966899,65649.074944672,537.2612572337,1.5121343859,22.7553843808988,50.737751046393,24.4864760296859,2.16391,16.6806995232,3.7888729478,31.530923014,12.2636746516,20.3269643236,1.2235368826,32.7544598966
"SH",77.955,261.4623511655,24.0600346354,19.1713167853,60.9800525944,19.8486306202,75.7680713232,88.7642496091319,22.2954203919307,39.451114922813,11.3969849246,2.7534895234,77429.98210631,548.8015141498,1.1483375959,19.8331363660417,51.2585327994638,27.9223184520135,2.32438,34.5626824799,NA,39.8618612901,12.2932854157,5.2279742355,3.7831763477,43.6450376378
"SO",259.283,328.002884287,19.9935977291,19.7753034329,61.9948087611,18.229887806,77.5318860087,89.8774998627706,34.9806963936106,24.5608658262127,13.858142212,2.7053081218,60178.070372787,568.0065372193,1.8694754754,21.6088244066641,52.990114619285,23.8005454003153,3.30947,18.2994944497,4.3633284622,24.3289759794,18.409755019,17.862173433,0.4857089055,24.8146848849
"SZ",149.83,175.9518049651,19.3379163051,20.8389508109,63.4412333979,15.7198157912,80.311019155,89.605955939511,63.7955490731911,11.273170223508,6.0588708168,1.5083826725,54317.263848322,616.3998269148,0.7371589421,23.2855757033057,47.9423177374823,27.5790985747332,1.44553,15.6553213033,3.4450715004,37.9821566114,15.4751022922,20.5635942563,NA,37.9821566114
"TG",256.213,296.9105257669,22.7424057327,21.279950666,62.8141429201,15.9059064138,50.0720103976,90.6180628578105,33.2249094520388,35.7027690150719,12.2861727573,2.4744386374,56288.285023805,602.917772936,1.4719204781,20.7891900853851,52.6110143966399,25.0297051590262,1.5948,12.083504813,4.9578116421,38.6709149764,11.2502761292,14.3746493493,3.4816553992,42.1525703756
"TI",341.652,124.6236508151,26.7324646131,18.7231451887,60.2352686359,21.0415861754,87.9154812499,10.7748469147433,69.2541076722729,4.40275969078164,5.6466580858,4.5159447872,66611.037873158,628.2872770765,0.8186466003,26.25687321769,45.3431488396275,25.8988356887397,2.24014,16.6004481016,NA,9.7079953192,24.8468089453,19.9629617338,17.5322503381,27.2402456573
"UR",35.693,33.7573533584,10.520270081,21.0461435015,60.2695206343,18.6843358642,0,94.0556120718888,81.617497456765,4.6998982706002,1.8552582683,1.2558001511,48732.916915304,521.2820078006,0.6725211205,31.825582780668,50.4189666812279,17.2590445176919,1.12769,21.4680412371,NA,NA,74.2680412371,NA,NA,0
"VD",734.356,260.1636039636,32.1733600597,22.4056179836,61.5607416566,16.0336403597,74.4728714683,6.80863047891413,31.3945321078156,26.6417674008486,9.3220840273,5.0078414695,67159.33139052,529.9127756411,0.6058883529,25.7245829170192,38.5779428421121,33.8383412081322,5.08758,25.1451819744,0.8311850694,22.9496566273,16.2795049167,4.6270595724,1.7139351648,24.6635917921
"VS",321.732,61.7096692522,21.6322902291,20.5559285368,61.654731267,17.7893401962,57.0412641577,26.5472964132852,74.8709418163467,6.25198586995122,3.5339808055,4.049664236,53866.881436761,623.6538789106,1.2972597988,31.0941680159558,44.4087058607883,22.854848494106,1.51535,14.6339710693,0.6313210611,19.6766047816,18.813469329,39.8801754923,NA,19.6766047816
"ZG",116.575,562.8923225495,25.2669954965,20.5258417328,63.7289298735,15.7452283937,96.2813639288,84.6887628024267,54.3763370849223,14.2177988610879,13.8488605898,2.1045081223,125138.2269132,617.3634278565,0.350343856,15.074740009002,43.9923720180987,39.7176225333428,1.66719,5.2717442433,NA,28.3119705469,19.2297176096,24.2913589597,NA,28.3119705469
"ZH",1408.575,848.0487188132,24.9261132705,19.5791491401,63.7890066202,16.6318442397,95.1424666773,83.8838251328881,27.4494002998501,32.1460576529917,21.8585335099,3.1972310851,92553.268342364,498.3237527255,0.6006438764,16.8979363750401,45.208433785201,36.3619429954044,3.1711,19.2682401358,5.2784501544,29.8435988277,11.6448257808,5.030528911,2.4500335381,32.2936323658
